timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1768269600,2026-01-13 02:00:00,2026-01-12 23:00:00,Lascar,MODIS,0.63,1.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-13/02-00-00_Lascar_MODIS_Latest.png,2026-01-13 01:00:31,2026-01-13 16:30:30,NO,latest.php,valido,False,Capturado por latest.php
1768243681,2026-01-12 18:48:01,2026-01-12 15:48:01,Nevados de Chillan,VIIRS375,6.93,17.14,EVIDENCIA_DIARIA,FALSO POSITIVO,No descargada,2026-01-12 20:45:26,2026-01-13 06:15:25,NO,latest.php,valido,False,Capturado por latest.php
1768242240,2026-01-12 18:24:00,2026-01-12 15:24:00,Nevados de Chillan,VIIRS375,3.34,16.77,EVIDENCIA_DIARIA,FALSO POSITIVO,No descargada,2026-01-12 19:15:26,2026-01-12 20:30:27,NO,latest.php,valido,False,Capturado por latest.php
1768199401,2026-01-12 06:30:01,2026-01-12 03:30:01,Nevados de Chillan,VIIRS375,0.81,17.08,EVIDENCIA_DIARIA,FALSO POSITIVO,No descargada,2026-01-12 14:46:12,2026-01-12 19:00:30,NO,latest.php,valido,False,Capturado por latest.php
1768199401,2026-01-12 06:30:01,2026-01-12 03:30:01,Puyehue-Cordon Caulle,VIIRS375,0.28,8.1,ALERTA_TERMICA,Bajo,No descargada,2026-01-12 14:46:12,2026-01-12 19:15:26,NO,latest.php,valido,False,Capturado por latest.php
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Lastarria,VIIRS375,0.87,5.03,EVIDENCIA_DIARIA,FALSO POSITIVO,imagenes_satelitales/Lastarria/2026-01-12/06-24-01_Lastarria_VIIRS375_Latest.png,2026-01-12 14:46:12,2026-01-12 20:00:29,NO,latest.php,valido,False,Capturado por latest.php
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Lascar,VIIRS375,0.62,5.0,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-12/06-24-01_Lascar_VIIRS375_Latest.png,2026-01-12 14:46:12,2026-01-12 17:15:28,NO,latest.php,valido,False,Capturado por latest.php
1768193281,2026-01-12 04:48:01,2026-01-12 01:48:01,Nevados de Chillan,VIIRS375,3.3,16.77,EVIDENCIA_DIARIA,FALSO POSITIVO,imagenes_satelitales/Nevados de Chillan/2026-01-12/04-48-01_Nevados de Chillan_VIIRS375_Latest.png,2026-01-12 05:35:34,2026-01-12 06:47:23,NO,latest.php,valido,False,Capturado por latest.php
1768158361,2026-01-11 19:06:01,2026-01-11 16:06:01,Copahue,VIIRS375,7.81,25.86,EVIDENCIA_DIARIA,FALSO POSITIVO,imagenes_satelitales/Copahue/2026-01-11/19-06-01_Copahue_VIIRS375_Latest.png,2026-01-11 22:57:40,2026-01-12 04:49:27,NO,latest.php,valido,False,Capturado por latest.php
1768158361,2026-01-11 19:06:01,2026-01-11 16:06:01,Chaiten,VIIRS375,0.5,32.14,EVIDENCIA_DIARIA,FALSO POSITIVO,imagenes_satelitales/Chaiten/2026-01-11/19-06-01_Chaiten_VIIRS375_Latest.png,2026-01-11 22:57:40,2026-01-12 04:49:27,NO,latest.php,valido,False,Capturado por latest.php
1768112640,2026-01-11 06:24:00,2026-01-11 03:24:00,Lascar,VIIRS375,0.04,1.19,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-11/06-24-00_Lascar_VIIRS375_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
1768112640,2026-01-11 06:24:00,2026-01-11 03:24:00,Lastarria,VIIRS375,0.15,1.55,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lastarria/2026-01-11/06-24-00_Lastarria_VIIRS375_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
1768107961,2026-01-11 05:06:01,2026-01-11 02:06:01,Puyehue-Cordon Caulle,VIIRS375,0.25,8.19,ALERTA_TERMICA,Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-01-11/05-06-01_Puyehue-Cordon Caulle_VIIRS375_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
1768107601,2026-01-11 05:00:01,2026-01-11 02:00:01,Lascar,VIIRS,0.27,0.75,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-11/05-00-01_Lascar_VIIRS750_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
1768107601,2026-01-11 05:00:01,2026-01-11 02:00:01,Lascar,VIIRS375,0.51,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-01-11/05-00-01_Lascar_VIIRS375_VRP.png,,,NO,latest.php,valido,False,Capturado por latest.php
